NRPD,POIT,MTPD,DSMT,13MT,14MT,CPIT,UMIT,PNIT,PBIT,VOIT,VLIT,MOIT,PLIT,CEIT,FEIT,STIP,ENIT,POEN,FEEN,HREN,CPEN,CTEN,STIT,BQEN,DSBQ,BQFA,DSBF,MTEN,DSEN,13EN,14EN,CPCP,SHID,HSID,CCEN,FECE,HRCE,CPCE,PNCC,PBCC,VOCC,PLCC,ENPG,PGFE,PGHR,PGUS,CDEN,ENRE,REFE,REHR,REUS,ENFA,ENFE,FATY,FAFE,FAHR,FAUS,CTFA,PNFA,PBFA,VOFA,VLFA,PLFA
2390051,10,1000002504,MOZZARELLA 10X680G NUEVA SIBARITA,,,1,CS,6.8,7.48,,1979.36,ARS,0.02,6207,02/10/2016,,83084070,10,02/05/2016,,,6207,C,,,,,1000002504,MOZZARELLA 10X680G NUEVA SIBARITA,,,1,2424978,,1,,,,6.8,7.48,,0.02,4915208445,02/05/2016,,,1,8059R00160185,,,,907655784,4508A00083730,ZF2,02/05/2016,,,1,6.8,7.48,,,0.02
2390051,20,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,1979.36,ARS,0.02,6207,02/10/2016,,83084070,20,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208445,02/05/2016,,,1,8059R00160185,,,,907655784,4508A00083730,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390051,30,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,1979.36,ARS,0.01,6207,02/10/2016,,83084070,30,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2424978,,1,,,,4.7,5.6,,0.01,4915208445,02/05/2016,,,1,8059R00160185,,,,907655784,4508A00083730,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390052,10,121CQ1121,CUATRO QUESOS 10X520GR,,,1,CS,5.2,6.345,,869.54,ARS,0.01,6211,02/06/2016,,83084071,10,02/05/2016,,,6211,C,,,,,121CQ1121,CUATRO QUESOS 10X520GR,,,1,2425558,,1,,,,5.2,6.345,,0.01,4915212433,02/05/2016,,,1,1156R00018515,,,,907655995,4511A00007126,ZF2,02/05/2016,,,1,5.2,6.345,,,0.01
2390053,10,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,4404.5,ARS,0.02,6207,02/10/2016,,83084072,10,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208446,02/05/2016,,,1,8059R00160186,,,,907655789,4508A00083735,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390053,20,121MZ1121,MOZZARELLA 10X470G,,,2,CS,9.4,11.69,,4404.5,ARS,0.03,6207,02/10/2016,,83084072,20,02/05/2016,,,6207,C,,,,,121MZ1121,MOZZARELLA 10X470G,,,2,2424978,,2,,,,9.4,11.69,,0.03,4915208446,02/05/2016,,,2,8059R00160186,,,,907655789,4508A00083735,ZF2,02/05/2016,,,2,9.4,11.69,,,0.03
2390053,30,121MZ2121,MOZZARELLA 5X940G,,,3,CS,14.1,16.8,,4404.5,ARS,0.04,6207,02/10/2016,,83084072,30,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,3,2424978,,3,,,,14.1,16.8,,0.04,4915208446,02/05/2016,,,3,8059R00160186,,,,907655789,4508A00083735,ZF2,02/05/2016,,,3,14.1,16.8,,,0.04
2390053,40,121CQ1121,CUATRO QUESOS 10X520GR,,,1,CS,5.2,6.345,,4404.5,ARS,0.01,6207,02/10/2016,,83084072,40,02/05/2016,,,6207,C,,,,,121CQ1121,CUATRO QUESOS 10X520GR,,,1,2424978,,1,,,,5.2,6.345,,0.01,4915208446,02/05/2016,,,1,8059R00160186,,,,907655789,4508A00083735,ZF2,02/05/2016,,,1,5.2,6.345,,,0.01
2390054,10,121MZ1121,MOZZARELLA 10X470G,,,1,CS,4.7,5.845,,1449.23,ARS,0.01,6207,02/10/2016,,83084073,10,02/05/2016,,,6207,C,,,,,121MZ1121,MOZZARELLA 10X470G,,,1,2424978,,1,,,,4.7,5.845,,0.01,4915209619,02/05/2016,,,1,8059R00160272,,,,907655786,4508A00083732,ZF2,02/05/2016,,,1,4.7,5.845,,,0.01
2390054,20,121CQ1121,CUATRO QUESOS 10X520GR,,,1,CS,5.2,6.345,,1449.23,ARS,0.01,6207,02/10/2016,,83084073,20,02/05/2016,,,6207,C,,,,,121CQ1121,CUATRO QUESOS 10X520GR,,,1,2424978,,1,,,,5.2,6.345,,0.01,4915209619,02/05/2016,,,1,8059R00160272,,,,907655786,4508A00083732,ZF2,02/05/2016,,,1,5.2,6.345,,,0.01
