TPPD,ORVT,OFVT,VEVT,NRPD,FEPD,HRPD,CPPD,OCPD,FCOC,FVOC,FPEN,STPD,DSST,DRST,CIST,CPST,TEST,PAST,PYDD,DSPY,BTPD,DSBT,CUBT,SPPD,DSSP,DRSP,CISP,CPSP,TESP,PASP,INSP,RGSP,ZSTP,ICPD,LIPD,PESP,CTSP,DSCT,UNPD,UMPD,PNPD,PBPD,VOPD,VLPD,MOPD,PLPD,STEN
ZOR,AR01,AR01,,2382736,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414266,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414266,CARREFOUR 206 BARRIO CARREFOUR,,CAPITAL FEDERAL,1425,,,,0,AR-BUE-SMK,DEL,,2,6207,,2,CS,9,74,11,785,,1448,06,ARS,0,03,C
ZOR,AR01,AR01,,2382737,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414305,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414305,CARREFOUR 8 LA PLATA,,LA PLATA,1900,,,,1,AR-BUE-SMK,DEL,,2,6207,,1,CS,4,44,5,34,,723,45,ARS,0,02,C
ZOR,AR01,AR01,,2382738,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414363,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414363,CARREFOUR 252 ACASSUSO,,MARTINEZ,1640,,,,1,AR-BUE-SMK,DEL,,2,6207,,5,CS,23,72,27,965,,3236,08,ARS,0,08,C
ZOR,AR01,AR01,,2382739,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414399,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414399,CARREFOUR 62 EXPRESS PILAR II,,PILAR,1629,,,,1,AR-BUE-SMK,DEL,,2,6207,,2,CS,9,4,11,2,,1101,42,ARS,0,03,C
ZOR,AR01,AR01,,2382740,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414296,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414296,CARREFOUR 191 EXPRESS MAR DEL PLATA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,1,CS,4,7,5,6,,550,71,ARS,0,01,C
ZOR,AR01,AR01,,2382741,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414382,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414382,CARREFOUR 198 EXPRESS CABILDO,,CAPITAL FEDERAL,8118,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,5,18,5,58,,831,52,ARS,0,02,C
ZOR,AR01,AR01,,2382742,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414360,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414360,CARREFOUR 232 EXPRESS CAMPANA II,,CAMPANA,2804,,,,1,AR-BUE-SMK,DEL,,2,6207,,1,CS,5,3,6,445,,724,61,ARS,0,01,C
ZOR,AR01,AR01,,2382744,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414422,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414422,CARREFOUR 514 SUPER VILLA DEL PARQU,,CAPITAL FEDERAL,1419,,,,0,AR-BUE-SMK,DEL,,2,6207,,2,CS,9,14,10,94,,1274,16,ARS,0,03,C
ZOR,AR01,AR01,,2382745,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414407,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414407,CARREFOUR 381 SUPER RECOLETA II,,CAPITAL FEDERAL,1000,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,4,7,5,6,,550,71,ARS,0,01,C
ZOR,AR01,AR01,,2382746,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414405,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414405,CARREFOUR 389 SUPER CARRANZA,,CAPITAL FEDERAL,1000,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,4,44,5,34,,723,45,ARS,0,02,C
ZOR,AR01,AR01,,2382747,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414418,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414418,CARREFOUR 519 SUPER LACROZE,,CAPITAL FEDERAL,1000,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,5,4,5,87,,735,1,ARS,0,01,C
ZOR,AR01,AR01,,2382748,02/03/2016,00/01/1900,,,02/03/2016,,02/03/2016,1000413685,,,,,,,1000417461,WAL MART ARGENTINA S.R.L.,,,,1000413685,CD WALMART MORENO,,MORENO,1744,,,,1,AR-BUE-CDS,DEL,,2,6207,,465,CS,5555,67,5801,73,,164679,86,ARS,6,26,C
ZOR,AR01,AR01,,2382749,02/03/2016,00/01/1900,,,02/02/2016,,02/02/2016,1000413685,,,,,,,1000417461,WAL MART ARGENTINA S.R.L.,,,,1000413685,CD WALMART MORENO,,MORENO,1744,,,,1,AR-BUE-CDS,DEL,,2,6207,,55,CS,360,36,385,25,,38940,81,ARS,0,5,C
ZOR,AR01,AR01,,2382750,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414268,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414268,CARREFOUR 219 EXPRESS DONATO,,CAPITAL FEDERAL,1616,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,15,15,79,,509,45,ARS,0,02,C
